Designator,Footprint,Quantity,Value,LCSC Part #
C401,1206,1,10uF/25V(10%),C77090
C402,0603,1,10nF/50V(10%),C57112
"C403_2, C403",1206,2,22uF/16V(20%),C87162
"C404, C405",0603,2,1uF/20V(10%),C57112
"D101, D102",SOT-23,2,BAT54A,
D301,SOT-143,1,SP0503BAHT,
D401,D_SMA,1,B230A-13-F,C12889
"Q301, Q302",SOT-23,2,L8050QLT1G,
"R401, R407",0603,2,0R,
"R402, R405",2010,2,0.2R(1%),C2145167
R403,0603,1,51K(1%),C23196
R404,0603,1,3.6K(1%),C22980
R406,0603,1,???,C22980
"R408, R409, R410, R411",0603,4,10R(1%),
R412,0805,1,0.3R(5%),C175747
U101,ESP32-WROVER-E_ThermalVias,1,ESP32-WROVER-E,
U201,QFN_IP101GRI_WIZ,1,IP101GRI,
U301,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN28,
U401,Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm,1,INA3221,
U402,TSOT-23-6,1,RT8259,C425775
