Designator,Mid X,Mid Y,Rotation,Layer
BZ501,167.25,-37.625,0.0,bottom
C201,132.7,-32.45,90.0,top
C202,131.15,-32.45,90.0,top
C203,129.4,-36.7,180.0,top
C204,119.25,-40.8,270.0,top
C205,163.4,-52.325,270.0,top
C301,146.0,-68.3,0.0,top
C302,144.7,-57.2,180.0,top
C303,144.2,-58.4,0.0,top
C304,145.4,-65.3,0.0,top
C305,146.0,-66.6,180.0,top
C306,143.4,-66.0,270.0,top
C307,141.325,-66.2,0.0,top
C308,149.876777,-65.021142,0.0,top
C309,149.796777,-60.821142,0.0,top
C310,136.075,-69.6,0.0,top
C311,136.075,-71.2,0.0,top
C312,130.9,-57.0,0.0,top
C313,131.1,-70.7,180.0,top
C401,134.975,-138.825,0.0,top
C402,132.6,-103.465,0.0,top
C403,149.05,-88.825,0.0,top
C404,148.825,-92.335,0.0,top
C405,132.6,-106.725,0.0,top
C601,124.15,-92.525,270.0,top
C602,125.55,-94.025,180.0,top
C701,139.4375,-127.55,0.0,top
C702,139.4375,-130.06,0.0,top
C703,153.725,-137.625,0.0,top
C704,122.05,-132.825,0.0,top
C705,156.35,-129.625,0.0,top
C706,150.05,-136.825,0.0,top
C707,160.05,-100.025,90.0,top
C708,156.55,-99.5,90.0,top
C709,131.675,-140.825,90.0,top
C801,129.575,-114.125,0.0,top
C802,123.95,-122.825,0.0,top
C803,128.075,-120.325,0.0,top
C804,128.075,-124.075,0.0,top
C805,128.075,-128.075,0.0,top
D201,123.8875,-40.525,180.0,top
D202,159.1,-52.5375,90.0,top
D501,171.05,-48.825,270.0,top
D502,171.05,-35.825,270.0,top
D503,158.55,-33.325,0.0,top
D504,127.55,-33.575,0.0,top
D505,116.3,-35.825,90.0,top
D506,116.3,-48.825,90.0,top
D507,116.3,-132.825,90.0,top
D508,116.3,-145.825,90.0,top
D509,133.55,-148.075,180.0,top
D510,153.55,-148.075,180.0,top
D511,171.05,-145.825,270.0,top
D512,171.05,-132.825,270.0,top
D513,165.6,-35.0,180.0,top
D601,133.65,-88.625,90.0,top
D602,133.65,-95.125,270.0,top
D603,123.45,-96.725,90.0,top
D701,154.125,-141.075,0.0,top
D702,153.55,-120.075,180.0,top
D703,144.6875,-112.925,90.0,top
D704,162.8,-147.075,0.0,top
D801,140.05,-133.075,0.0,top
FB401,138.625,-85.575,0.0,top
FB601,123.15,-86.525,0.0,top
J101,122.1,-44.025,0.0,bottom
J102,161.55,-85.1,0.0,bottom
J103,123.0,-77.125,270.0,bottom
J104,124.0,-100.375,270.0,bottom
J105,152.35,-83.825,180.0,top
J301,126.7604,-68.404049,270.0,bottom
J401,143.25,-135.825,0.0,bottom
J601,116.925,-90.825,270.0,top
J701,121.3,-126.425,270.0,bottom
L701,158.8,-125.575,0.0,top
L702,152.9,-102.625,0.0,top
L801,134.05,-128.575,0.0,top
Q501,162.2,-41.2,90.0,top
Q601,131.05,-77.9,90.0,top
Q602,127.55,-77.9125,90.0,top
Q701,144.6875,-105.375,0.0,top
R101,137.45,-82.425,0.0,top
R102,137.45,-80.325,0.0,top
R103,120.75,-78.925,90.0,top
R201,154.4,-45.6,270.0,top
R202,128.85,-40.175,180.0,top
R203,128.85,-43.325,180.0,top
R204,128.85,-38.025,180.0,top
R205,120.0,-44.5,90.0,top
R206,120.0,-48.6,270.0,top
R207,158.15,-37.025,90.0,top
R208,161.7,-52.325,270.0,top
R301,142.2,-70.4,270.0,top
R302,135.125,-61.9,0.0,top
R303,135.125,-58.7,0.0,top
R304,129.65,-53.425,0.0,top
R305,151.5,-59.3,180.0,top
R306,150.5,-66.3,0.0,top
R307,146.0,-70.0,0.0,top
R308,135.6,-65.6,180.0,top
R309,117.05,-53.225,180.0,top
R310,148.476777,-63.721142,0.0,top
R311,120.35,-74.625,180.0,top
R312,150.776777,-62.921142,270.0,top
R313,117.1,-54.8,180.0,top
R314,148.476777,-62.121142,0.0,top
R315,117.15,-74.625,0.0,top
R401,138.9625,-136.575,0.0,top
R402,135.075,-134.335,0.0,top
