Designator,Mid X,Mid Y,Rotation,Layer
BZ501,167.25,-57.625,0.0,bottom
C201,132.7,-52.45,90.0,top
C202,132.7,-55.475,270.0,top
C203,129.4,-56.7,180.0,top
C204,119.25,-60.8,270.0,top
C205,161.55,-72.4,270.0,top
C301,146.0,-88.175,0.0,top
C302,142.05,-77.625,0.0,top
C303,142.05,-78.625,180.0,top
C304,145.4,-85.3,0.0,top
C305,146.0,-86.6,180.0,top
C306,143.4,-86.0,270.0,top
C307,140.85,-86.075,0.0,top
C308,155.9,-84.625,45.0,top
C309,156.2,-81.125,315.0,top
C310,133.45,-90.325,270.0,top
C311,131.85,-90.325,270.0,top
C312,127.45,-74.325,90.0,top
C313,128.8,-91.475,180.0,top
C402,142.65,-104.025,0.0,top
C403,147.05,-100.875,90.0,top
C404,145.15,-104.325,0.0,top
C405,145.075,-97.275,0.0,top
C601,129.35,-102.525,270.0,top
C602,130.75,-104.025,180.0,top
C603,127.375,-100.825,180.0,top
C701,151.8,-126.225,90.0,top
C702,155.1,-128.6125,0.0,top
C703,134.096633,-125.730712,180.0,top
C704,138.546633,-124.680712,270.0,top
C705,130.996633,-121.380712,90.0,top
C706,130.75,-108.775,0.0,top
C707,133.7,-116.825,0.0,top
C708,128.975,-114.375,0.0,top
C709,133.7,-114.375,0.0,top
C801,143.5,-116.675,90.0,top
C802,148.45,-111.325,90.0,top
C803,156.5,-108.275,90.0,top
C804,154.1,-113.025,90.0,top
C805,154.1,-108.275,90.0,top
D201,123.8875,-60.525,180.0,top
D202,157.25,-72.6125,90.0,top
D501,171.05,-67.325,270.0,top
D502,171.05,-55.025,270.0,top
D503,156.95,-53.325,0.0,top
D504,129.15,-53.575,0.0,top
D505,116.3,-55.025,90.0,top
D506,116.3,-67.325,90.0,top
D507,116.3,-135.325,90.0,top
D508,118.55,-148.075,180.0,top
D509,133.55,-148.075,180.0,top
D510,153.55,-148.075,180.0,top
D511,168.55,-148.075,180.0,top
D512,171.05,-135.325,270.0,top
D513,165.6,-55.0,180.0,top
D601,137.1375,-99.125,180.0,top
D602,137.1375,-103.925,180.0,top
D701,162.44375,-147.6875,90.0,top
D702,117.0,-124.825,90.0,top
D703,130.396633,-127.305712,90.0,top
D704,126.25,-147.6375,90.0,top
D801,158.54375,-147.6375,90.0,top
FB401,149.6,-101.625,0.0,top
FB601,123.65,-105.425,0.0,top
J101,122.1,-64.025,0.0,bottom
J102,160.85,-100.79,0.0,bottom
J103,118.05,-111.725,180.0,bottom
J104,116.8,-140.225,180.0,bottom
J105,152.35,-93.825,180.0,top
J301,126.7604,-88.404049,270.0,bottom
J601,116.925,-100.825,270.0,top
J701,120.8,-127.325,270.0,bottom
L701,134.846633,-128.930712,0.0,top
L702,134.75,-110.825,0.0,top
L801,150.45,-107.325,90.0,top
Q501,162.2,-61.2,90.0,top
Q601,133.2,-94.325,90.0,top
Q602,127.1,-95.325,90.0,top
Q701,122.0625,-119.125,180.0,top
R101,137.2,-96.725,0.0,top
R102,137.2,-94.725,0.0,top
R201,155.05,-65.525,270.0,top
R202,128.85,-60.175,180.0,top
R203,128.85,-63.325,180.0,top
R204,128.85,-58.025,180.0,top
R205,120.0,-64.5,90.0,top
R206,120.0,-68.6,270.0,top
R208,159.85,-72.4,270.0,top
R301,142.2,-90.4,270.0,top
R302,134.75,-81.725,0.0,top
R303,135.15,-77.225,0.0,top
R304,135.15,-79.225,0.0,top
R305,151.5,-79.3,180.0,top
R306,149.45,-85.425,0.0,top
R307,146.0,-89.775,0.0,top
R308,140.25,-90.625,270.0,top
R309,120.2,-73.075,0.0,top
R310,148.476777,-83.721142,0.0,top
R311,117.0,-84.175,270.0,top
R313,117.15,-73.075,180.0,top
R314,148.476777,-82.121142,0.0,top
R315,118.6,-84.175,270.0,top
R501,125.15,-57.025,0.0,bottom
R502,122.05,-53.4,0.0,top
R503,159.55,-60.225,90.0,top
R504,122.05,-55.0,180.0,top
R505,155.3,-68.1,0.0,top
R601,136.65,-105.525,180.0,top
R602,129.9,-95.275,90.0,top
R603,132.7,-105.375,90.0,top
R604,127.05,-98.125,180.0,top
R605,134.25,-105.375,270.0,top
R606,137.1375,-100.725,0.0,top
R607,137.1375,-102.325,0.0,top
R608,123.65,-103.425,0.0,top
R609,123.625,-98.225,0.0,top
R701,128.85,-61.725,0.0,top
R702,149.5,-126.9125,180.0,top
R703,149.5,-125.2125,180.0,top
R704,152.5,-130.425,180.0,top
R705,152.5,-128.875,180.0,top
R706,125.65,-118.775,0.0,top
R707,143.95,-123.025,90.0,top
R708,160.85,-110.925,90.0,top
R709,138.25,-119.925,180.0,top
R710,164.09375,-147.6875,90.0,top
R711,138.25,-121.525,0.0,top
R712,139.2,-113.075,0.0,top
R713,127.85,-147.6375,90.0,top
R801,139.6,-109.6375,270.0,top
R802,145.0,-109.8375,90.0,top
R804,141.9,-116.675,270.0,top
R805,143.4,-109.8375,90.0,top
R806,153.65,-103.6,180.0,top
R807,160.14375,-147.6375,90.0,top
SW201,116.3,-61.15,90.0,top
SW202,171.05,-61.175,270.0,top
U201,143.55,-59.825,0.0,top
U301,143.776777,-82.121142,180.0,top
U402,143.55,-100.825,0.0,top
U601,132.55,-100.825,0.0,top
U602,123.725,-100.825,0.0,top
U701,155.125,-125.35,180.0,top
U702,134.496633,-123.080712,180.0,top
U703,130.15,-111.375,0.0,top
U801,142.949999,-113.425002,180.0,top
U802,151.0,-111.875,90.0,top
Y301,154.276777,-83.021142,45.0,top
